               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,             0.02021,            0.013684,                   0,             0.89171,             0.81429,             0.88169,              0.5839,            0.034943,            0.016309,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020304,            0.014098,                   0,             0.87516,             0.83183,             0.88235,              0.5827,             0.03458,             0.01609,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020836,            0.014473,                   0,             0.89225,             0.81953,             0.88577,             0.57967,            0.034554,            0.015868,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020079,            0.013924,                   0,             0.84755,               0.859,             0.88595,             0.58409,            0.034206,            0.016113,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.019855,            0.014649,                   0,             0.88694,             0.82571,             0.88447,             0.58086,            0.034662,            0.016248,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020267,            0.014491,                   0,             0.84003,             0.87021,             0.88506,             0.58015,            0.034477,            0.015985,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.019406,            0.013978,                   0,             0.86125,               0.844,             0.87961,             0.58054,            0.034573,            0.016083,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019765,            0.014323,                   0,             0.85299,             0.85414,             0.88426,             0.58598,            0.034957,            0.016413,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.020245,             0.01406,                   0,             0.86808,              0.8541,               0.892,             0.58707,             0.03469,            0.016059,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019796,            0.014002,                   0,             0.89866,             0.83313,              0.8856,             0.58448,            0.034313,            0.016349,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019634,            0.014015,                   0,             0.87056,             0.84794,             0.88623,              0.5826,            0.034806,            0.016399,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.018925,            0.013689,                   0,             0.89046,             0.82447,             0.88534,             0.58812,            0.034561,            0.016533,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.019301,            0.014156,                   0,             0.87294,             0.83313,             0.88161,             0.58611,            0.034423,            0.016239,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018897,            0.013394,                   0,             0.89946,             0.82942,             0.88596,             0.58338,            0.034552,            0.016169,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018944,            0.014041,                   0,             0.87997,             0.84278,             0.88947,             0.58638,            0.034209,            0.016107,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018413,            0.013487,                   0,             0.88858,             0.82806,             0.88866,             0.59132,            0.034284,            0.016147,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.018749,            0.013529,                   0,             0.88553,             0.82324,             0.88413,             0.59009,            0.034336,            0.016288,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.019307,            0.013404,                   0,             0.85658,             0.85636,             0.88881,             0.59166,            0.034369,            0.016173,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018542,            0.013362,                   0,             0.86162,             0.84664,             0.88476,             0.59156,             0.03442,            0.016268,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.018723,            0.013466,                   0,              0.8794,             0.82942,             0.88528,             0.59151,            0.034359,            0.016361,                   0,            0.000298,            0.000298,            0.000298
